event_id,date,event_title,event_summary,source_type,region,country,affected_industry,affected_component,risk_type,severity,probability,time_sensitivity,substitution_difficulty,production_impact
EVT-001,2026-01-08,Fictional chip fab utility interruption,A fictional regional power interruption has reduced output at a mature-node semiconductor facility used by automotive module suppliers.,Industry Bulletin,East Asia,Taiwan,Automotive Electronics,Semiconductors,Capacity,5,4,5,5,5
EVT-002,2026-01-14,Fictional border inspection backlog,Enhanced fictional inspections are adding four to six days to truck movements carrying harness assemblies.,Logistics Notice,Europe,Poland,Passenger Vehicles,Wiring Harnesses,Logistics,3,4,4,4,4
EVT-003,2026-01-23,Fictional battery cell yield decline,A fictional cell plant reported lower first-pass yield during a new production-line ramp.,Supplier Update,East Asia,South Korea,Electric Vehicles,Battery Cells,Quality,4,4,4,5,5
EVT-004,2026-02-02,Fictional port labor slowdown,A fictional labor action is reducing container handling at a major export port.,News Monitor,North America,United States,Automotive Components,Infotainment Modules,Labor,4,4,5,4,4
EVT-005,2026-02-09,Fictional resin force majeure,A fictional specialty polymer producer declared temporary force majeure after an equipment failure.,Supplier Notice,North America,Mexico,Interior Systems,Resins,Capacity,4,4,4,4,4
EVT-006,2026-02-16,Fictional rare-earth export review,A fictional licensing review may delay exports of high-temperature magnet material.,Regulatory Watch,East Asia,China,Electric Powertrain,Rare Earth Magnets,Geopolitical,5,4,4,5,5
EVT-007,2026-02-24,Fictional foundry flood damage,A fictional flash flood damaged utilities serving an aluminum casting cluster.,Weather Alert,South Asia,India,Powertrain Components,Aluminum Castings,Natural Disaster,4,3,4,4,4
EVT-008,2026-03-03,Fictional supplier covenant breach,A fictional seat-frame supplier disclosed a breach of a lending covenant and limited working capital.,Financial Monitor,Europe,Spain,Vehicle Interiors,Seats,Supplier Financial,4,4,4,3,4
EVT-009,2026-03-07,Fictional brake valve contamination,A fictional supplier quality alert identified contamination in a batch of hydraulic control valves.,Supplier Quality Alert,Europe,Germany,Chassis Systems,Brake Systems,Quality,5,3,5,5,5
EVT-010,2026-03-12,Fictional ransomware outage,A fictional cyber incident disrupted shipping labels and advance shipment notices at a module supplier.,Cyber Alert,North America,Canada,Automotive Electronics,Power Electronics,Cybersecurity,4,4,5,4,4
