event_id,date,event_title,event_summary,source_name,source_url,data_type,source_date,region,country,affected_industry,affected_component,risk_type,severity,probability,time_sensitivity,substitution_difficulty,production_impact,total_risk_score,risk_level,recommended_action,confidence_level,last_reviewed
REAL-001,2026-06-10,"American Axle strike could halt Chevrolet Colorado and GMC Canyon production","GM Authority reported that a supplier labor disruption could affect axle availability and pickup production. Plant-level exposure and inventory coverage should be confirmed with the supplier and affected assembly teams.",GM Authority,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQbDAzS3hPTHlQUGh4ZE5MZWdxS19Td05GbWVOYjlpUV9PZ0kzYnd5SWtVcEpDUzNIckFZREltTEFHSkRMRjZNWUtrLXkxMm9yc3NjalhoTm9qWk90ZkhfMnFvZGh2UUpqeG5kaVJyb1JteTRXQW5UZlR0NGVBTVJ0NEo4a0lNa1pFSzVJV25VWFcxYmtFMldPZkJHQXVuVENoNlg0QWNZUjBCdw?oc=5,Real,2026-06-10,North America,United States,Passenger Vehicles,Axles and Driveline,Labor,5,4,5,4,5,23,Critical,"Confirm strike status, axle inventory by plant, and alternate production or sourcing options today.",Medium,2026-06-12
REAL-002,2026-06-03,"US memory-chip shortage is affecting automakers and prices","Reuters reported warnings from automakers and retailers that memory-chip supply constraints were affecting pricing. Automotive bill-of-material exposure and confirmed allocations require validation.",Reuters,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNTlVNYkY1ZGNrbFpNc1FiMFZLckVCdlhMb2xpSzN4TllOZ1cwLUNBMjQwamlpMzdkSDN5cXFQYm5xWGZLSzRtVkpraWdLamRRQm9wQkd4bGJDNmEwZXdHX3plUm5TenN5WEUxZmRoLXNlQ3BwZFA4ako2RndhdURWOXR5ZVFXeHdnbVVHY1prSnJnaUtoYm1ROGpNOUFkakE0QVZqMUtPcHZ3SF9nOXJrU29zQ1RvOVBjdHEzSGtyaU80azBsU1RXRQ?oc=5,Real,2026-06-03,North America,United States,Automotive Electronics,Semiconductors,Capacity,5,4,5,5,5,24,Critical,"Map affected memory devices to vehicle programs, verify allocation commitments, and identify qualified substitutes.",High,2026-06-12
REAL-003,2026-06-11,"Iran conflict exposes lithium-ion battery supply-chain fragility","S&P Global described disruption exposure for lithium-ion battery supply chains connected to the Iran conflict. The specific effect on automotive logistics, materials, and inventory needs program-level confirmation.",S&P Global,https://news.google.com/rss/articles/CBMipgFBVV95cUxPQ1lyVEMweWlKMUJnX1NKdmN3QzExTGozcHlNaTMyakthNlFOYW9RbjhsdHBDTGNpYVdzM0FZdnBhWnEzdVNtZHozZEdVWW1sdUxwNUhIY01tOS10a3NTREhoZlY5a29GRnJkV1U4WkgzYXRNSnRtNXprdVFJVXFOdjhrYjlzcUhhNk8xaEdFNVJVc1dia1RwaW5WNU5qeDBuOFBncFF3?oc=5,Real,2026-06-11,Middle East,Iran,Electric Vehicles,Battery Cells,Geopolitical,4,4,5,5,5,23,Critical,"Review battery-material routes through the region, inventory days, and alternate lanes or suppliers.",Medium,2026-06-12
REAL-004,2026-06-09,"BASF warns Iran conflict could disrupt carmaker supply chains","Claims Journal reported a BASF warning that the Iran conflict could trigger supply-chain disruption for automakers. Exposure by chemical, resin, plant, and transport lane remains to be validated.",Claims Journal,https://news.google.com/rss/articles/CBMic0FVX3lxTE5Pc1RZamJVUDhQTnJ6MjdYZHpaaFNYdF9oLVdlT3VWZk1wRktmRU92dmhxVGpYR3lPUEg2SXV0Rm1QUGU1dXRfd3FoSjcwN0dqLXYzZy1lWktFSDNFNEM5RnhteTV5ZGU3Y0Z1aWplZzl2ZTg?oc=5,Real,2026-06-09,Middle East,Iran,Automotive Materials,Resins,Geopolitical,4,4,5,4,5,22,High,"Confirm BASF-linked material dependencies, available safety stock, and approved alternate chemical grades.",Medium,2026-06-12
REAL-005,2026-05-21,"European automakers seek relief from banned China chips","Automotive News reported that European automakers were seeking a carve-out for restricted China-sourced chips to avoid a supply crunch. Affected device families and legal applicability require confirmation.",Automotive News,https://news.google.com/rss/articles/CBMimgFBVV95cUxQTVBCWW5QQjZVZl9wZFJGdm11ekxVZkYzY2JYTHlMUkFma0xScXhmeFYtWWpveGNpUlJVUEtxWGNnVUJmM1pyYjRXclhKV3h2UkZmRTF4NU5jeG55bFV4b0tWcHVLVE5yWnlPNGxSQnRaV3lUUnJSaW4zeDJLWlYxWXBicGlyWnVBelJkTFAtdEZURHFjQm51TXZn?oc=5,Real,2026-05-21,Europe,Multiple,Automotive Electronics,Semiconductors,Geopolitical,5,4,4,5,5,23,Critical,"Identify restricted chip content, confirm legal guidance, and accelerate qualification of compliant alternatives.",Medium,2026-06-12
REAL-006,2026-05-21,"Japanese automotive exports to the Middle East fall as conflict disrupts shipping","Reuters reported a decline in Japanese automotive exports to the Middle East as conflict disrupted shipping. Route, port, and finished-vehicle exposure should be checked against current logistics plans.",Reuters,https://news.google.com/rss/articles/CBMizwFBVV95cUxOYWQ3MTNGNTZSOGJvdzZQMDZiUDQxNVFzLTRPRFh6RTFiczRORUVCMzFRWG9hWmI5S180am43aERoZUlxNFk2aGNmNkJROTdkOXJtU2l0Ukxxd1B0NkpXOWtqNi1LV0lRQ19UTUhIakRORmlOZ1l3dTZ4bVZqbXZfZEg1ZW1lOHpRanRBRkp5UWFGWDM5R212TmNFcHpBb3o1T04wV3JoTXBrVjlLalFFWkdfcWlhSlZPdHk5bllhT3lqaHlzLUw0REVpWDI2NGM?oc=5,Real,2026-05-21,Middle East,Multiple,Vehicle Logistics,Multiple Components,Logistics,4,4,4,3,4,19,High,"Compare alternate shipping routes and ports against delivery commitments, cost, and vehicle inventory.",High,2026-06-12
REAL-007,2026-05-07,"Key waterway disruption threatens automotive production","Automotive News described risks to automotive production from disruption at major waterways. The report is a strategic warning and requires validation against active routes and supplier locations.",Automotive News,https://news.google.com/rss/articles/CBMijgFBVV95cUxOd3otMmRBbHluamthVU9sZEVoNGs4aTVPNVBWdTVOdEl5NDk0TndNZG5xYlpIV3NkSng5VXVtN3hyZGNGY3g3enJGeGdwVDlfM2I4VFZtUlY4NkdpMlFPSG9aSXRrWUd4LVM1SU1pZXhldDBTbTYzcFNKRktDRnBtOW8tcWw5V2hPbW5oZ2Z3?oc=5,Real,2026-05-07,Global,Multiple,Automotive Logistics,Multiple Components,Logistics,4,3,4,4,4,19,High,"Map current inbound and outbound lanes through exposed waterways and price alternate routing scenarios.",Medium,2026-06-12
REAL-008,2026-05-14,"Tariffs and cyberattack weigh on Jaguar Land Rover performance","The Guardian reported that tariffs and a cyberattack contributed to a substantial decline in Jaguar Land Rover profit. The event indicates operational and financial exposure but requires direct company confirmation for current status.",The Guardian,https://news.google.com/rss/articles/CBMivwFBVV95cUxPQ0xsemlQLXEwdkEwbG5vTm1YbDkweENKNDBLV1ZTTFFZdGRFdFh1b2dNd2VXaG1GLWN3M05rVklJN3NLcUlKc2NYTGx0dC1YWG1QdVlEUUlPTDBLRU4yMS1CdFNMYlRVVGQ5RFVubHpxRUsyYk5odlJ6eU16ZlVQbzItMktILXRwWjV1RmVsNzl4U1VsMTRXQlB6a1RBQnhabk9wYzgtWWN1RXhpS3hpRWhJYWhuLWxaeG1SMGN1RQ?oc=5,Real,2026-05-14,Europe,United Kingdom,Passenger Vehicles,Multiple Components,Cybersecurity,4,4,4,4,4,20,High,"Confirm supplier and logistics system recovery, data integrity, and any continuing production constraints.",Medium,2026-06-12
REAL-009,2026-05-01,"Software-defined vehicles create new automotive supply-chain risks","Supply Chain Dive summarized Moody's analysis of supply-chain risks connected to software-defined vehicles. This is a structural risk signal rather than a confirmed production interruption.",Supply Chain Dive,https://news.google.com/rss/articles/CBMiowFBVV95cUxNQWktSEN1Y2hGQlZpRXhVMGRnLUhxWGIzbDdYeG1sOVNvS2Z1ZlVZWjRiSGFxSHgwaXEyb2p3VGdlNkhCXzNqQ1BiY05naXlITW5jUjk0M0dLWmNhMW5ORE0yM1FzZzEwa1pXSFk1UFo3a1ljRmpGd3dQcmxpSzQ3TE5OSC0wbGVjNmhFdHhNSDBHS1c5TUdVUWlHY2pxVEU0aDk4?oc=5,Real,2026-05-01,Global,Multiple,Automotive Electronics,Infotainment Modules,Cybersecurity,3,4,3,4,4,18,High,"Map software and cloud dependencies by vehicle platform and define supplier cyber-recovery requirements.",Medium,2026-06-12
REAL-011,2026-06-02,"Strike at Volvo supplier raises concern for the Ghent automotive cluster","The Brussels Times reported a supplier strike affecting the Volvo-linked automotive cluster in Ghent. Production impact and labor-resolution timing require local confirmation.",The Brussels Times,https://news.google.com/rss/articles/CBMisgFBVV95cUxNNU9paWtITkI5VE1YR21MczNPYTEwbzBpckVzSFUtZnVxZnBxc2hLWnhreW1LMzVnRlRNMGxxWXNEc1JES09UMGxoaHdlS1pVa2Y2Q1ExUkZ2S2oxZDl4ZWlwMDNIYldoQkNaX1lUT0VMcmNlQTJlUzlqR0laZUZvUlZaOFpzMy04OGVreU1JankxWDlfNjk2REdSbW9jTFNONjRmcDBlOGlPUzcySkY3TllB?oc=5,Real,2026-06-02,Europe,Belgium,Passenger Vehicles,Multiple Components,Labor,4,4,5,4,4,21,High,"Validate affected suppliers and parts, then model inventory coverage for short and extended strike scenarios.",Medium,2026-06-12
